ID;ID_SETUPMETER;ID_PERIOD;ID_SETUPCONSUMER;ID_LAST_READING;READING_LAST;DATE_LAST;READING_NEXT;DATE_NEXT;KWH;CREATED;UPDATED;ID_USR;COMMENT;TRANS_WORK;ID_TURNOFF_TYPE
4336;268;1;4051;NULL;9,0000000;NULL;9,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;111;NULL;1;0
4337;269;1;11107;NULL;16425,0000000;NULL;16501,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;129;NULL;1;0
4338;270;1;7792;NULL;1135,0000000;NULL;1205,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;147;NULL;1;0
4339;271;1;573;NULL;8287,0000000;NULL;8549,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;174;NULL;1;0
4340;272;1;1618;NULL;51996,0000000;NULL;52972,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;155;NULL;1;0
4341;273;1;16157;NULL;966222,0000000;NULL;978222,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;171;NULL;1;0
4342;274;1;18688;NULL;14,0000000;NULL;15,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;174;NULL;1;0
4343;275;1;27395;NULL;10,3000000;NULL;NULL;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;NULL;NULL;1;0
4344;276;1;27388;NULL;4913,0000000;NULL;5255,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4345;277;1;15475;NULL;5096,0000000;NULL;5413,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;106;NULL;1;0
4346;278;1;5828;NULL;11408,0000000;NULL;15074,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4347;280;1;5223;NULL;32064,0000000;NULL;32356,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4348;281;1;5228;NULL;21754,0000000;NULL;21822,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4349;282;1;5431;NULL;10,0000000;NULL;10,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4350;283;1;5051;NULL;334085,0000000;NULL;336445,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4351;284;1;6525;NULL;22,0000000;NULL;22,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;122;NULL;1;0
4352;286;1;18861;NULL;10165,0000000;NULL;10215,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4353;287;1;6033;NULL;1971,0000000;NULL;2001,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4354;288;1;6791;NULL;64253,0000000;NULL;65550,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4355;289;1;5322;NULL;4641,0000000;NULL;4641,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
4356;290;1;6733;NULL;80119,0000000;NULL;80119,0000000;NULL;NULL;19.10.2010, 13:21:04.617;12.05.2011, 09:21:19.312;124;NULL;1;0
